Color,B,B(LED on),B(Blue)
Center Stage,22,800,1305
Cheerful,35,1014,795
Direct Green,36,530,1230
Brick Paver,47,471,885
Black Bean,48,372,1125
Salute,50,431,840
Gecko,51,556,975
Andiron,54,405,990
Stop,54,614,1380
Roycroft Bottle Green,56,438,945
Gold Coast,56,674,855
Rookwood Shutter Green,57,400,990
Nankeen,58,626,960
Evergreens,64,447,1260
Darkroom,64,452,1170
Daisy,64,1129,1245
Luxurious Red,66,517,975
Naval,76,497,720
Rookwood Amber,80,688,780
Hot Cocoa,87,549,1080
Salty Dog,88,502,1005
Argyle,93,682,1485
Sheraton Sage,102,776,1920
Dried Thyme,112,823,1063
Pink Flamingo,123,1009,2100
Intense Teal,128,834,2205
Julep,128,1001,2385
Roycroft Rose,128,1033,1575
Downing Slate,134,900,990
Coming up Roses,136,1088,2535
Ruby Violet,139,1045,2355
Briny,142,983,2385
Poolhouse,160,1192,1575
Romaine,173,1792,4215
Contented,179,1683,3090
Jacaranda,192,1617,3795
Faded Flaxflower,192,1826,2685
Krypton,195,1866,3585
Major Blue,196,1652,4515
Magical,208,2064,4290
Waterfall,218,2404,3525
Undercool,225,2429,3840
