Color,R,R(LED on),R(Red)
Intense Teal,1,239,123
Briny,8,280,140
Salty Dog,35,201,105
Major Blue,40,392,211
Naval,47,217,73
Rookwood Shutter Green,48,205,128
Roycroft Bottle Green,50,225,109
Argyle,52,292,127
Direct Green,63,302,84
Evergreens,64,235,134
Black Bean,64,217,130
Andiron,66,231,121
Darkroom,68,240,146
Julep,87,414,157
Jacaranda,90,460,276
Downing Slate,119,429,125
Gecko,122,410,134
Dried Thyme,123,454,113
Undercool,127,706,219
Hot Cocoa,128,400,153
Salute,128,425,176
Poolhouse,128,493,136
Luxurious Red,134,480,171
Sheraton Sage,143,526,328
Brick Paver,147,533,196
Ruby Violet,155,637,286
Faded Flaxflower,158,781,226
Nankeen,170,650,190
Center Stage,178,780,353
Krypton,184,891,382
Contented,189,920,307
Romaine,192,1034,458
Waterfall,192,1067,295
Magical,192,1015,445
Roycroft Rose,192,849,272
Rookwood Amber,192,758,163
Stop,195,956,558
Gold Coast,199,854,267
Pink Flamingo,205,1040,437
Coming up Roses,221,1078,550
Daisy,254,1520,456
Cheerful,255,1520,293
