Color,R,G,B,RL,GL,BL
Intense Teal,1,118,128,239,571,834
Briny,8,128,142,280,665,983
Salty Dog,35,64,88,201,319,502
Major Blue,40,158,196,392,955,1652
Naval,47,61,76,217,336,497
Rookwood Shutter Green,48,59,57,205,308,400
Roycroft Bottle Green,50,64,56,225,350,438
Argyle,52,138,93,292,720,682
Direct Green,63,138,36,302,744,530
Evergreens,64,88,64,235,404,447
Black Bean,64,51,48,217,283,372
Andiron,66,64,54,231,327,405
Darkroom,68,62,64,240,328,452
Julep,87,170,128,414,1025,1001
Jacaranda,90,158,192,460,978,1617
Downing Slate,119,127,134,429,662,900
Gecko,122,136,51,410,751,556
Dried Thyme,123,128,112,454,733,823
Undercool,127,195,225,706,1503,2429
Hot Cocoa,128,98,87,400,450,549
Salute,128,53,50,425,316,431
Poolhouse,128,149,160,493,843,1192
Luxurious Red,134,58,66,480,362,517
Sheraton Sage,143,134,102,526,742,776
Brick Paver,147,64,47,533,372,471
Ruby Violet,155,126,139,637,725,1045
Faded Flaxflower,158,180,192,781,1287,1826
Nankeen,170,128,58,650,741,626
Center Stage,178,194,22,780,1394,800
Krypton,184,192,195,891,1391,1866
Contented,189,192,179,920,1401,1683
Romaine,192,210,173,1034,1725,1792
Waterfall,192,227,218,1067,1955,2404
Magical,192,175,208,1015,1263,2064
Roycroft Rose,192,143,128,849,854,1033
Rookwood Amber,192,134,80,758,720,688
Stop,195,58,54,956,427,614
Gold Coast,199,133,56,854,781,674
Pink Flamingo,205,113,123,1040,693,1009
Coming up Roses,221,119,136,1078,730,1088
Daisy,254,211,64,1520,1715,1129
Cheerful,255,199,35,1520,1541,1014
